fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.663406,64.80108,1,1,11.632494,2.8132231,1,1
57.423737,64.552025,1,1,11.012225,2.816604,1,1
56.63635,65.14077,1,1,11.031052,2.882662,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.36571,64.94263,1,1,11.132687,2.7244937,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.320442,66.108246,1,1,11.057653,3.8836753,1,1
-1024.0,64.92419,0,1,11.017301,2.3253286,1,1
56.620605,65.064186,1,1,11.013649,2.7038927,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.949047,-1024.0,1,0,10.6464615,-1024.0,1,0
-1024.0,64.95725,0,1,-1024.0,-1024.0,0,0
