fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
56.672527,64.506424,1,1,10.810712,2.2546918,1,1
56.3632,64.968285,1,1,11.165974,3.3694274,1,1
56.8845,64.75013,1,1,12.382841,3.2007527,1,1
56.806347,65.59693,1,1,12.060843,4.1410766,1,1
56.89034,64.8092,1,1,7.727922,2.2778945,1,1
56.126724,65.365105,1,1,10.689232,3.4234798,1,1
56.211025,65.46616,1,1,9.70063,2.8637702,1,1
56.98191,64.88062,1,1,8.8887205,2.2750185,1,1
56.25014,-1024.0,1,0,12.265577,4.114042,1,1
56.885605,65.51985,1,1,10.506892,2.9785466,1,1
56.58636,65.56363,1,1,11.285742,3.6332502,1,1
56.731026,65.60873,1,1,10.911227,3.3538668,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.062027,65.270226,1,1,9.81316,2.6988602,1,1
56.813248,65.72524,1,1,11.529504,3.839441,1,1
56.34853,64.926414,1,1,8.53397,2.5215747,1,1
56.745594,65.256584,1,1,10.260598,2.5217314,1,1
56.549633,65.04531,1,1,8.016866,2.5769393,1,1
56.542095,64.88561,1,1,7.594922,2.2506714,1,1
56.88147,65.46504,1,1,10.025766,2.7325199,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.47235,64.862724,1,1,8.362972,2.0185232,1,1
56.247017,65.3738,1,1,11.631992,3.7170324,1,1
56.359726,64.95088,1,1,11.607489,3.1465232,1,1
56.54003,65.411354,1,1,11.30251,3.6019444,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.34506,0,1,11.673108,3.893547,1,1
-1024.0,-1024.0,0,0,-9.851759,3.8153849,2,1
57.000996,65.3982,1,1,8.296592,2.72803,1,1
56.92291,64.73278,1,1,11.414446,2.8486722,1,1
56.138283,65.11209,1,1,10.233367,2.5662243,1,1
57.2725,65.18617,1,1,11.996661,3.939198,1,1
56.69868,65.24771,1,1,9.983905,2.5031056,1,1
56.523354,65.75061,1,1,11.790985,4.0266128,1,1
-1024.0,-1024.0,0,0,11.199593,-1024.0,1,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.50863,65.55709,1,1,8.031116,2.88435,1,1
-1024.0,65.380035,0,1,-1024.0,-1024.0,0,0
56.654896,65.44283,1,1,9.878205,2.8256671,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.011158,65.35139,1,1,12.037478,3.9159145,1,1
56.784836,65.42213,1,1,11.720388,3.8537652,1,1
56.529644,65.49235,1,1,11.385524,3.6289635,1,1
-1024.0,-1024.0,0,0,-8.509233,4.196891,2,1
56.62345,65.09938,1,1,10.56874,2.536123,1,1
56.85833,64.7192,1,1,11.246933,2.6577845,1,1
