fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision,Multiplicity V0,Multiplicity AD,Time V0,Time AD
56.672527,64.506424,1,1,10.810712,2.2546918,1,1,258.4579693078995,4447.641380310059,6.027302518486977,52.99987077713013
56.3632,64.968285,1,1,11.165974,3.3694274,1,1,73.82093784213066,1971.272060394287,7.073135033249855,60.6630859375
56.8845,64.75013,1,1,12.382841,3.2007527,1,1,2.448426407761872,112.38926458358765,3.190859124064445,60.94953465461731
56.806347,65.59693,1,1,12.060843,4.1410766,1,1,45.90343461185694,686.0686941146851,7.931895572692156,60.90137362480164
56.89034,64.8092,1,1,7.727922,2.2778945,1,1,527.9499580860138,8250.84555053711,5.4582990147173405,46.13845491409302
56.126724,65.365105,1,1,10.689232,3.4234798,1,1,189.8218972682953,3236.287475585937,6.437922803685069,56.68631434440613
56.211025,65.46616,1,1,9.70063,2.8637702,1,1,459.9974961280823,7983.910385131836,6.131699167191982,49.75889348983765
56.98191,64.88062,1,1,8.8887205,2.2750185,1,1,495.2364547252655,7936.774963378906,5.5498856557533145,56.8820276260376
56.25014,0.0,1,0,12.265577,4.114042,1,1,0.6322346646338701,11.579476952552795,0.648860864341259,21.323915481567383
56.885605,65.51985,1,1,10.506892,2.9785466,1,1,400.49252581596375,7067.252944946289,6.351135857403278,61.18625688552856
56.58636,65.56363,1,1,11.285742,3.6332502,1,1,172.34553915262222,2846.864143371582,7.214027900248766,61.049999475479126
56.731026,65.60873,1,1,10.911227,3.3538668,1,1,244.7441700696945,4346.128112792969,6.815178789198399,61.15268063545227
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
57.062027,65.270226,1,1,9.81316,2.6988602,1,1,438.93651127815247,6667.689544677734,6.080646121874452,57.07334733009338
56.813248,65.72524,1,1,11.529504,3.839441,1,1,123.55963492393494,2113.064426422119,7.503111146390438,61.25386476516724
56.34853,64.926414,1,1,8.53397,2.5215747,1,1,472.5947687625885,8115.3175048828125,5.660569129511714,56.56632685661316
56.745594,65.256584,1,1,10.260598,2.5217314,1,1,452.4454066753388,7408.878952026367,5.911795627325773,60.99917936325073
56.549633,65.04531,1,1,8.016866,2.5769393,1,1,333.33768796920776,6112.020767211914,5.742502957582474,52.67858910560608
56.542095,64.88561,1,1,7.594922,2.2506714,1,1,531.2633326053619,8218.463851928711,5.444898919202387,56.61707139015198
56.88147,65.46504,1,1,10.025766,2.7325199,1,1,572.0120713710785,8680.936508178711,6.027946013957262,61.1643488407135
0.0,0.0,0,0,0.0,0.0,0,0,0.1046611117199063,1.4300683438777924,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0,0,0.0836814818903803,0.9763745665550232,0.0,0.0
56.47235,64.862724,1,1,8.362972,2.0185232,1,1,578.8339982032776,8649.64566040039,5.043781895190477,56.63537383079529
56.247017,65.3738,1,1,11.631992,3.7170324,1,1,40.7231974452734,892.5331869125366,7.5250798016786575,60.78889036178589
56.359726,64.95088,1,1,11.607489,3.1465232,1,1,111.68981838226318,1810.818599700928,7.194017618894577,60.38774657249451
56.54003,65.411354,1,1,11.30251,3.6019444,1,1,126.68722414970398,1833.752799987793,6.917132436763495,60.893399477005005
0.0,0.0,0,0,0.0,0.0,0,0,0.0253692511469125,0.0,0.0,0.0
0.0,65.34506,0,1,11.673108,3.893547,1,1,0.4270010078325867,142.9859141409397,0.9748573414981364,57.6967339515686
0.0,0.0,0,0,-9.851759,3.8153849,2,1,16.838016614317894,6.492942675948143,-3.165932629257441,0.0
57.000996,65.3982,1,1,8.296592,2.72803,1,1,476.3996534347534,7588.926040649414,5.715553486719728,48.96256494522095
56.92291,64.73278,1,1,11.414446,2.8486722,1,1,203.4110916852951,2370.7935791015625,6.639931610785425,60.75537204742432
56.138283,65.11209,1,1,10.233367,2.5662243,1,1,448.3937997817993,6716.923538208008,5.610506858676672,50.11554288864136
57.2725,65.18617,1,1,11.996661,3.939198,1,1,19.441434040665627,463.1993799209595,7.8456591330468655,61.14911103248596
56.69868,65.24771,1,1,9.983905,2.5031056,1,1,512.8949835300446,7470.328720092773,5.796302262693644,48.74733066558838
56.523354,65.75061,1,1,11.790985,4.0266128,1,1,71.17685163021088,1064.6225318908691,7.724482275545597,61.12736368179321
0.0,0.0,0,0,11.199593,0.0,1,0,0.060712931677699,1.4485276192426682,0.174993634223938,0.0
0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.6466874182224274,0.0,0.0
56.50863,65.55709,1,1,8.031116,2.88435,1,1,491.7594268321991,7525.590316772461,5.60448535811156,56.91798257827759
0.0,65.380035,0,1,0.0,0.0,0,0,0.0706878248602151,48.51919695734978,0.0,16.41546106338501
56.654896,65.44283,1,1,9.878205,2.8256671,1,1,408.32925248146057,6338.063095092773,6.085220554843545,42.24623084068298
0.0,0.0,0,0,0.0,0.0,0,0,0.0,14.77415782213211,0.0,0.0
57.011158,65.35139,1,1,12.037478,3.9159145,1,1,45.45982563495636,1047.4550800323486,7.909838039427996,61.179532051086426
56.784836,65.42213,1,1,11.720388,3.8537652,1,1,60.93667708337307,1220.9343605041504,7.508022982627153,61.09150719642639
56.529644,65.49235,1,1,11.385524,3.6289635,1,1,87.57099837064743,1719.770362854004,7.175459820777178,60.9889702796936
0.0,0.0,0,0,-8.509233,4.196891,2,1,0.2827002573758364,6.651553183794022,0.0790449306368827,-17.25531315803528
56.62345,65.09938,1,1,10.56874,2.536123,1,1,409.7522013187408,6354.237030029297,6.098623005673289,53.78413200378418
